id,nombre,apellido,tipo_documento,numero_documento,departamento,municipio,programa
beneficiario_078,Nombre_78,Apellido_78,TI,10000077,Antioquia,Medellin,Subsidio Educativo
beneficiario_079,Nombre_79,Apellido_79,CC,10000078,Cundinamarca,Bogota,Subsidio Vivienda
beneficiario_080,Nombre_80,Apellido_80,TI,10000079,Antioquia,Medellin,Subsidio Educativo
beneficiario_081,Nombre_81,Apellido_81,CC,10000080,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_082,Nombre_82,Apellido_82,TI,10000081,Antioquia,Medellin,Subsidio Vivienda
beneficiario_083,Nombre_83,Apellido_83,CC,10000082,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_084,Nombre_84,Apellido_84,TI,10000083,Antioquia,Medellin,Subsidio Educativo
beneficiario_085,Nombre_85,Apellido_85,CC,10000084,Cundinamarca,Bogota,Subsidio Vivienda
beneficiario_086,Nombre_86,Apellido_86,TI,10000085,Antioquia,Medellin,Subsidio Educativo
beneficiario_087,Nombre_87,Apellido_87,CC,10000086,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_088,Nombre_88,Apellido_88,TI,10000087,Antioquia,Medellin,Subsidio Vivienda
beneficiario_089,Nombre_89,Apellido_89,CC,10000088,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_090,Nombre_90,Apellido_90,TI,10000089,Antioquia,Medellin,Subsidio Educativo
beneficiario_091,Nombre_91,Apellido_91,CC,10000090,Cundinamarca,Bogota,Subsidio Vivienda
beneficiario_092,Nombre_92,Apellido_92,TI,10000091,Antioquia,Medellin,Subsidio Educativo
beneficiario_093,Nombre_93,Apellido_93,CC,10000092,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_094,Nombre_94,Apellido_94,TI,10000093,Antioquia,Medellin,Subsidio Vivienda
beneficiario_095,Nombre_95,Apellido_95,CC,10000094,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_096,Nombre_96,Apellido_96,TI,10000095,Antioquia,Medellin,Subsidio Educativo
beneficiario_097,Nombre_97,Apellido_97,CC,10000096,Cundinamarca,Bogota,Subsidio Vivienda
beneficiario_098,Nombre_98,Apellido_98,TI,10000097,Antioquia,Medellin,Subsidio Educativo
beneficiario_099,Nombre_99,Apellido_99,CC,10000098,Cundinamarca,Bogota,Subsidio Educativo
beneficiario_100,Nombre_100,Apellido_100,TI,10000099,Antioquia,Medellin,Subsidio Vivienda
